file,region1p1,region1p2,count,r1rank1,r1rank2,SUM
ss__0059_0672195499_115rrs__0032046srlc15070bx08zpzj04.csv,31,6,100,0.31,0.06,0.37
ss__0059_0672195516_100rrs__0032046srlc15070bx08zpzj04.csv,1,1,1,1,1,2
ss__0059_0672195677_710rrs__0032046srlc15060ww08cgnj03.csv,59,6,100,0.59,0.06,0.65
ss__0059_0672195728_080rrs__0032046srlc15060bw08zpzj04.csv,60,6,100,0.6,0.06,0.66
ss__0059_0672195745_065rrs__0032046srlc15060bw08zpzj04.csv,1,0,1,1,0,1
ss__0059_0672196010_695rrs__0032046srlc16000w1__cgnj06.csv,0,0,1,0,0,0
ss__0083_0674308432_715rrs__0032430srlc10200w108cgnj03.csv,2,0,100,0.02,0,0.02
ss__0083_0674308471_115rrs__0032430srlc10200b108zpzj03.csv,2,0,100,0.02,0,0.02
ss__0083_0674308488_035rrs__0032430srlc10200b108zpzj03.csv,0,0,1,0,0,0
ss__0083_0674308541_630rrs__0032430srlc10200w208cgnj03.csv,6,1,100,0.06,0.01,0.07
ss__0083_0674308691_985rrs__0032430srlc10200b208zpzj03.csv,6,1,100,0.06,0.01,0.07
ss__0083_0674308708_975rrs__0032430srlc10200b208zpzj03.csv,0,0,1,0,0,0
ss__0083_0674308761_505rrs__0032430srlc10200w308cgnj03.csv,6,1,100,0.06,0.01,0.07
ss__0083_0674309038_960rrs__0032430srlc10200b308zpzj03.csv,6,1,100,0.06,0.01,0.07
ss__0083_0674309055_970rrs__0032430srlc10200b308zpzj03.csv,0,0,1,0,0,0
ss__0083_0674309251_680rrs__0032430srlc11320w108cgnj02.csv,62,12,1296,0.047839506,0.009259259,0.057098765
ss__0083_0674309860_980rrs__0032430srlc11320b108zpzj05.csv,61,12,1296,0.047067901,0.009259259,0.05632716
ss__0083_0674310080_270rrs__0032430srlc11320b108zpzj03.csv,0,0,2,0,0,0
ss__0083_0674310491_435rrs__0032430srlc16000w1__cgnj03.csv,0,0,1,0,0,0
ss__0098_0675636952_590rrs__0040136srlc10203w108cgnj07.csv,0,0,100,0,0,0
ss__0098_0675637227_910rrs__0040136srlc10203b108zpzj06.csv,0,0,100,0,0,0
ss__0098_0675637244_940rrs__0040136srlc10203b108zpzj06.csv,0,0,1,0,0,0
ss__0098_0675637296_495rrs__0040136srlc10203w208cgnj06.csv,2,0,100,0.02,0,0.02
ss__0098_0675637571_935rrs__0040136srlc10203b208zpzj05.csv,2,0,100,0.02,0,0.02
ss__0098_0675637588_960rrs__0040136srlc10203b208zpzj06.csv,0,0,1,0,0,0
ss__0098_0675637642_495rrs__0040136srlc10203w308cgnj06.csv,2,1,100,0.02,0.01,0.03
ss__0098_0675638419_015rrs__0040136srlc10203b308zpzj06.csv,3,1,100,0.03,0.01,0.04
ss__0098_0675638435_920rrs__0040136srlc10203b308zpzj06.csv,0,0,1,0,0,0
ss__0098_0675638872_925rrs__0040136srlc11420w108cgnj01.csv,63,16,1296,0.048611111,0.012345679,0.06095679
ss__0098_0675639646_770rrs__0040136srlc11420b108zpzj05.csv,64,16,1296,0.049382716,0.012345679,0.061728395
ss__0098_0675639872_210rrs__0040136srlc11420b108zpzj06.csv,0,0,2,0,0,0
ss__0098_0675640122_465rrs__0040136srlc16000w1__cgnj08.csv,0,0,1,0,0,0
ss__0141_0679457537_210rrs__0051812srlc10203w108cgnj06.csv,2,0,100,0.02,0,0.02
ss__0141_0679457813_215rrs__0051812srlc10203b108zpzj07.csv,2,0,100,0.02,0,0.02
ss__0141_0679457830_235rrs__0051812srlc10203b108zpzj06.csv,0,0,1,0,0,0
ss__0141_0679457882_800rrs__0051812srlc10203w208cgnj06.csv,8,0,100,0.08,0,0.08
ss__0141_0679458158_235rrs__0051812srlc10203b208zpzj07.csv,10,0,100,0.1,0,0.1
ss__0141_0679458175_225rrs__0051812srlc10203b208zpzj06.csv,0,0,1,0,0,0
ss__0141_0679458226_740rrs__0051812srlc10203w308cgnj06.csv,1,0,100,0.01,0,0.01
ss__0141_0679459003_420rrs__0051812srlc10203b308zpzj07.csv,1,0,100,0.01,0,0.01
ss__0141_0679459020_230rrs__0051812srlc10203b308zpzj06.csv,0,0,1,0,0,0
ss__0141_0679459465_705rrs__0051812srlc11420w108cgnj01.csv,43,13,1296,0.033179012,0.010030864,0.043209877
ss__0141_0679460237_955rrs__0051812srlc11420b108zpzj06.csv,44,13,1296,0.033950617,0.010030864,0.043981481
ss__0141_0679460459_295rrs__0051812srlc11420b108zpzj06.csv,0,0,2,0,0,0
ss__0141_0679460707_430rrs__0051812srlc16000w1__cgnj06.csv,0,0,1,0,0,0
ss__0158_0680995988_620rrs__0060000srlc16017w1__cgnj06.csv,0,0,1,0,0,0
ss__0161_0681248280_375rrs__0060000srlc10203w108cgnj06.csv,1,1,100,0.01,0.01,0.02
ss__0161_0681248556_710rrs__0060000srlc10203b108zpzj06.csv,1,1,100,0.01,0.01,0.02
ss__0161_0681248573_785rrs__0060000srlc10203b108zpzj06.csv,0,0,1,0,0,0
ss__0161_0681248626_295rrs__0060000srlc10203w208cgnj06.csv,1,1,100,0.01,0.01,0.02
ss__0161_0681248901_705rrs__0060000srlc10203b208zpzj06.csv,1,1,100,0.01,0.01,0.02
ss__0161_0681248918_705rrs__0060000srlc10203b208zpzj06.csv,0,0,1,0,0,0
ss__0161_0681248971_340rrs__0060000srlc10203w308cgnj06.csv,4,2,100,0.04,0.02,0.06
